ciudad,estado,poblacion,muertes
Autauga,Alabama,55869,107
Baldwin,Alabama,223234,305
Barbour,Alabama,24686,56
Bibb,Alabama,22394,62
Blount,Alabama,57826,134
Bullock,Alabama,10101,40
Butler,Alabama,19448,69
Calhoun,Alabama,113605,312
Chambers,Alabama,33254,121
Cherokee,Alabama,26196,45
Chilton,Alabama,44428,111
Choctaw,Alabama,12589,24
Clarke,Alabama,23622,60
Clay,Alabama,13235,56
Cleburne,Alabama,14910,41
Coffee,Alabama,52342,115
Colbert,Alabama,55241,134
Conecuh,Alabama,12067,28
Coosa,Alabama,10663,28
Covington,Alabama,37049,116
Crenshaw,Alabama,13772,57
Cullman,Alabama,83768,191
Dale,Alabama,49172,111
Dallas,Alabama,37196,150
DeKalb,Alabama,71513,184
Elmore,Alabama,81209,204
Escambia,Alabama,36633,75
Etowah,Alabama,102268,352
Fayette,Alabama,16302,62
Franklin,Alabama,31362,82
Geneva,Alabama,26271,75
Greene,Alabama,8111,34
Hale,Alabama,14651,75
Henry,Alabama,17205,44
Houston,Alabama,105882,280
Jackson,Alabama,51626,110
Jefferson,Alabama,658573,1498
Lamar,Alabama,13805,34
Lauderdale,Alabama,92729,236
Lawrence,Alabama,32924,97
Lee,Alabama,164542,168
Limestone,Alabama,98915,150
Lowndes,Alabama,9726,53
Macon,Alabama,18068,49
Madison,Alabama,372909,496
Marengo,Alabama,18863,64
Marion,Alabama,29709,100
Marshall,Alabama,96774,221
Mobile,Alabama,413210,804
Monroe,Alabama,20733,40
Montgomery,Alabama,226486,575
Morgan,Alabama,119679,277
Out of AL,Alabama,0,0
Perry,Alabama,8923,26
Pickens,Alabama,19930,59
Pike,Alabama,33114,76
Randolph,Alabama,22722,41
Russell,Alabama,57961,38
Shelby,Alabama,217702,246
St. Clair,Alabama,89512,237
Sumter,Alabama,12427,32
Talladega,Alabama,79978,174
Tallapoosa,Alabama,40367,149
Tuscaloosa,Alabama,209355,448
Unassigned,Alabama,0,0
Walker,Alabama,63521,278
Washington,Alabama,16326,39
Wilcox,Alabama,10373,27
Winston,Alabama,23629,72
Aleutians East,Alaska,3337,3
Aleutians West,Alaska,5634,1
Anchorage,Alaska,288000,176
Bethel,Alaska,18386,21
Bristol Bay,Alaska,836,0
Bristol Bay plus Lake and Peninsula,Alaska,1592,0
Chugach,Alaska,6751,3
Copper River,Alaska,2699,0
Denali,Alaska,2097,0
Dillingham,Alaska,4916,2
Fairbanks North Star,Alaska,96849,37
Haines,Alaska,2530,0
Hoonah-Angoon,Alaska,2148,0
Juneau,Alaska,31974,5
Kenai Peninsula,Alaska,58708,22
Ketchikan Gateway,Alaska,13901,2
Kodiak Island,Alaska,12998,5
Kusilvak,Alaska,8314,4
Matanuska-Susitna,Alaska,108317,47
Nome,Alaska,10004,0
North Slope,Alaska,9832,4
Northwest Arctic,Alaska,7621,2
Out of AK,Alaska,0,0
Petersburg,Alaska,3266,1
Prince of Wales-Hyder,Alaska,6203,1
Sitka,Alaska,8493,1
Skagway,Alaska,1183,0
Southeast Fairbanks,Alaska,6893,4
Unassigned,Alaska,0,0
Valdez-Cordova,Alaska,9202,0
Wrangell,Alaska,2502,0
Yakutat,Alaska,579,2
Yukon-Koyukuk,Alaska,5230,4
American Samoa,US,0,
Apache,Arizona,71887,426
Cochise,Arizona,125922,284
Coconino,Arizona,143476,329
Gila,Arizona,54018,227
Graham,Arizona,38837,77
Greenlee,Arizona,9498,10
La Paz,Arizona,21108,80
Maricopa,Arizona,4485414,9840
Mohave,Arizona,212181,711
Navajo,Arizona,110924,527
Out of AZ,Arizona,0,0
Pima,Arizona,1047279,2391
Pinal,Arizona,462789,868
Santa Cruz,Arizona,46498,175
Unassigned,Arizona,0,0
Yavapai,Arizona,235099,501
Yuma,Arizona,213787,830
Arkansas,Arkansas,17486,36
Ashley,Arkansas,19657,34
Baxter,Arkansas,41932,103
Benton,Arkansas,279141,414
Boone,Arkansas,37432,80
Bradley,Arkansas,10763,32
Calhoun,Arkansas,5189,3
Carroll,Arkansas,28380,45
Chicot,Arkansas,10118,41
Clark,Arkansas,22320,40
Clay,Arkansas,14551,50
Cleburne,Arkansas,24919,73
Cleveland,Arkansas,7956,25
Columbia,Arkansas,23457,56
Conway,Arkansas,20846,32
Craighead,Arkansas,110332,178
Crawford,Arkansas,63257,119
Crittenden,Arkansas,47955,96
Cross,Arkansas,16419,50
Dallas,Arkansas,7009,15
Desha,Arkansas,11361,24
Drew,Arkansas,18219,42
Faulkner,Arkansas,126007,161
Franklin,Arkansas,17715,39
Fulton,Arkansas,12477,47
Garland,Arkansas,99386,259
Grant,Arkansas,18265,32
Greene,Arkansas,45325,75
Hempstead,Arkansas,21532,20
Hot Spring,Arkansas,33771,71
Howard,Arkansas,13202,25
Independence,Arkansas,37825,123
Izard,Arkansas,13629,41
Jackson,Arkansas,16719,38
Jefferson,Arkansas,66824,166
Johnson,Arkansas,26578,37
Lafayette,Arkansas,6624,9
Lawrence,Arkansas,16406,43
Lee,Arkansas,8857,34
Lincoln,Arkansas,13024,48
Little River,Arkansas,12259,42
Logan,Arkansas,21466,22
Lonoke,Arkansas,73309,119
Madison,Arkansas,16576,23
Marion,Arkansas,16694,30
Miller,Arkansas,43257,36
Mississippi,Arkansas,40651,107
Monroe,Arkansas,6701,17
Montgomery,Arkansas,8986,33
Nevada,Arkansas,8252,24
Newton,Arkansas,7753,26
Ouachita,Arkansas,23382,61
Out of AR,Arkansas,0,0
Perry,Arkansas,10455,10
Phillips,Arkansas,17782,38
Pike,Arkansas,10718,22
Poinsett,Arkansas,23528,77
Polk,Arkansas,19964,71
Pope,Arkansas,64072,106
Prairie,Arkansas,8062,21
Pulaski,Arkansas,391911,647
Randolph,Arkansas,17958,47
Saline,Arkansas,122437,166
Scott,Arkansas,10281,14
Searcy,Arkansas,7881,18
Sebastian,Arkansas,127827,274
Sevier,Arkansas,17007,24
Sharp,Arkansas,17442,45
St. Francis,Arkansas,24994,42
Stone,Arkansas,12506,30
Unassigned,Arkansas,0,0
Union,Arkansas,38682,113
Van Buren,Arkansas,16545,23
Washington,Arkansas,239187,345
White,Arkansas,78753,118
Woodruff,Arkansas,6320,13
Yell,Arkansas,21341,65
Alameda,California,1671329,1491
Alpine,California,1129,0
Amador,California,39752,47
Butte,California,219186,196
Calaveras,California,45905,52
Colusa,California,21547,16
Contra Costa,California,1153526,789
Del Norte,California,27812,7
El Dorado,California,192843,109
Fresno,California,999101,1662
Glenn,California,28393,25
Humboldt,California,135558,38
Imperial,California,181215,720
Inyo,California,18039,38
Kern,California,900202,1345
Kings,California,152940,246
Lake,California,64386,43
Lassen,California,30573,24
Los Angeles,California,10039107,23804
Madera,California,157327,240
Marin,California,258826,227
Mariposa,California,17203,7
Mendocino,California,86749,47
Merced,California,277680,454
Modoc,California,8841,4
Mono,California,14444,4
Monterey,California,434061,381
Napa,California,137744,79
Nevada,California,99755,75
Orange,California,3175692,4939
Out of CA,California,0,0
Placer,California,398329,286
Plumas,California,18807,6
Riverside,California,2470546,4563
Sacramento,California,1552058,1659
San Benito,California,62808,63
San Bernardino,California,2180085,4572
San Diego,California,3338330,3692
San Francisco,California,881549,532
San Joaquin,California,762148,1346
San Luis Obispo,California,283111,260
San Mateo,California,766573,564
Santa Barbara,California,446499,448
Santa Clara,California,1927852,2048
Santa Cruz,California,273213,205
Shasta,California,180080,220
Sierra,California,3005,0
Siskiyou,California,43539,21
Solano,California,447643,247
Sonoma,California,494336,318
Stanislaus,California,550660,1040
Sutter,California,96971,110
Tehama,California,65084,57
Trinity,California,12285,5
Tulare,California,466195,834
Tuolumne,California,54478,65
Unassigned,California,0,0
Ventura,California,846006,1007
Yolo,California,220500,205
Yuba,California,78668,44
Adams,Colorado,517421,664
Alamosa,Colorado,16233,30
Arapahoe,Colorado,656590,712
Archuleta,Colorado,14029,1
Baca,Colorado,3581,4
Bent,Colorado,5577,21
Boulder,Colorado,326196,228
Broomfield,Colorado,70465,75
Chaffee,Colorado,20356,25
Cheyenne,Colorado,1831,6
Clear Creek,Colorado,9700,3
Conejos,Colorado,8205,10
Costilla,Colorado,3887,2
Crowley,Colorado,6061,15
Custer,Colorado,5068,1
Delta,Colorado,31162,61
Denver,Colorado,727211,800
Dolores,Colorado,2055,0
Douglas,Colorado,351154,233
Eagle,Colorado,55127,22
